index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
0,Паркет,Тагтгүй,2020,Байхгүй,Вакум,16,Бүргэд,24.04,4,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-12-15 09:55:00,BZD TSAIZ ZAKHYN BARUUN TALD SHINE 1 OROO BAIR,43000000.0,Улаанбаатар,24.04,46918892.327365726
1,Паркет,1 тагттай,2009,Байхгүй,Вакум,17,Бүргэд,54.0,8,Банкны лизингтэй,Баянзүрх,1,13-р хороолол,2020-12-15 08:08:00,NARAN TUUL ZAKHYN KHAJUUD 1 OROO,76000000.0,Улаанбаатар,54.0,103503101.1235955
2,Паркет,Тагтгүй,2009,Байхгүй,Вакум,5,Бүргэд,38.6,5,Лизинггүй,Хан-Уул,1,Viva city,2021-01-02 10:40:00,VIVAD MANSARTTAI 1 URUU 38.6M2,66000000.0,Улаанбаатар,38.6,61321637.93103448
3,Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,31.0,1,Лизинггүй,Сонгино Хайрхан,2,Найрамдал,2021-01-02 13:01:00,NAIRAMDAL ZUSLAN DOTOR 1 OROO BAIR,72000000.0,Улаанбаатар,31.0,70071428.57142857
4,Паркет,1 тагттай,2015,Байхгүй,Вакум,8,Бүргэд,38.0,8,Лизинггүй,Баянзүрх,2,16-р хороолол,2020-12-18 10:31:00,1 OROO BAIR,58000000.0,Улаанбаатар,38.0,62746655.27950311
5,Паркет,1 тагттай,2013,Байхгүй,Вакум,16,Бүргэд,27.0,3,Банкны лизингтэй,Сүхбаатар,1,Бусад,2020-12-18 13:16:00,UILDVERCHIN KHOTKHOND 1 OROO BAIR,57000000.0,Улаанбаатар,27.0,51733929.42898975
6,Ламинат,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,39.0,11,Лизинггүй,Баянзүрх,2,14-р хороолол,2020-12-17 15:15:00,BZD 14 KHOROO AMAN KHUURYN BARUUN TALD 1 OROO BAIR,78000000.0,Улаанбаатар,39.0,71669212.38095239
7,Паркет,2 тагттай,2000,Байхгүй,Вакум,9,Төмөр,21.0,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,2020-12-18 13:53:00,1R KHOROOLOL KHARKHORIN ZAKHYN KHOINO 1OROO BAIR 21M2,60000000.0,Улаанбаатар,21.0,53151244.44444445
8,Паркет,1 тагттай,2018,Байгаа,Вакум,12,Бүргэд,41.33,2,Лизинггүй,Баянзүрх,1,Офицер,2021-01-07 13:13:00,BZD 16KHOROOND 1OROO BAIR,68000000.0,Улаанбаатар,41.33,57844298.65771812
9,Паркет,1 тагттай,2002,Байхгүй,Вакум,6,Бүргэд,50.68,6,Лизинггүй,Баянгол,5,Бусад,2021-01-07 15:22:00,KHERMESIIN ZUUN KHOINO 3 OROO,100000000.0,Улаанбаатар,50.68,101326016.39344262
10,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,35.51,6,Лизинггүй,Баянгол,2,Алтай хотхон,2021-01-07 14:46:00,ALTAI KHOTKHONY KHOINO BARS ZAKHYN URD35.51M2,68000000.0,Улаанбаатар,35.51,73551167.9245283
11,Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,39.55,10,Лизинггүй,Баянгол,1,Нарны хороолол,2021-01-07 16:54:00,"NARNY KHOROOLOLD 39,55M2 1 OROO",87000000.0,Улаанбаатар,39.55,89632018.86792453
12,Паркет,1 тагттай,2013,Байхгүй,Вакум,5,Бүргэд,38.0,4,Лизинггүй,Хан-Уул,1,Viva city,2021-01-07 15:50:00,VIVA SITI KHOTKHOND 1 OROO,57000000.0,Улаанбаатар,38.0,61321637.93103448
13,Паркет,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,40.0,10,Лизинггүй,Баянгол,2,Нарны хороолол,2021-01-07 17:18:00,NARNY KHOROOLOLD 1 OROO,88000000.0,Улаанбаатар,40.0,89632018.86792453
14,Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Бүргэд,20.2,4,Лизинггүй,Хан-Уул,1,Viva city,2021-01-07 19:17:00,"VIVA CITY, 1 OROO 20.2M2",38000000.0,Улаанбаатар,20.2,43515602.83687943
15,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,66.08,7,Лизинггүй,Баянзүрх,4,Офицер,2021-01-07 17:41:00,BAYANZURKH APARTMENT 3 OROO BAIR,138770000.0,Улаанбаатар,66.08,106923333.33333333
16,Паркет,1 тагттай,2017,Байхгүй,Вакум,6,Бүргэд,31.49,1,Лизинггүй,Сонгино Хайрхан,2,Бусад,2021-01-07 20:14:00,NAIRAMDAL ZUSLAN DOTOR 1 OROO,70000000.0,Улаанбаатар,31.49,51733929.42898975
17,Паркет,1 тагттай,2017,Байхгүй,Вакум,3,Бүргэд,34.2,2,Лизинггүй,Сонгино Хайрхан,2,21-р хороолол,2021-01-07 19:21:00,21R KHOROOLOLD 1OROO,51300000.00000001,Улаанбаатар,34.2,46775845.41062802
18,Паркет,1 тагттай,2015,Байхгүй,Вакум,2,Бүргэд,27.0,1,Банкны лизингтэй,Хан-Уул,1,Бусад,2021-01-07 23:37:00,KHAN UUL DUUREG IREEDUI KHOTKHON 1OROO,50000000.0,Улаанбаатар,27.0,51733929.42898975
19,Паркет,Тагтгүй,2014,Байхгүй,Вакум,9,Бүргэд,34.0,4,Лизинггүй,Хан-Уул,1,Нисэх,2021-01-07 20:42:00,BUYANT-UKHAA 1 KHOROOLOLD 1 OROO BAIR 34M2,50000000.0,Улаанбаатар,34.0,48191583.67086957
20,Мод,1 тагттай,1992,Байхгүй,Вакум,5,Бүргэд,38.0,3,Лизинггүй,Баянзүрх,3,15-р хороолол,2021-01-08 00:02:00,SANSART GAL TOGOO TUSDAA 1 OROO BAIR,63000000.0,Улаанбаатар,38.0,67916273.8317757
21,Паркет,1 тагттай,2021,Байхгүй,Вакум,13,Бүргэд,28.54,7,Хувь лизингтэй,Чингэлтэй,1,Баянбүрд,2021-01-08 08:09:00,1 OROO BAIR,39670600.0,Улаанбаатар,28.54,59190014.63414634
22,Паркет,1 тагттай,2018,Байгаа,Вакум,12,Бүргэд,31.0,5,Лизинггүй,Баянзүрх,2,Өгөөмөр захын зүүн,2021-01-08 13:13:00,1 OROO 31MKV BAIR,45000000.0,Улаанбаатар,31.0,51355263.15789474
23,Паркет,1 тагттай,2021,Байгаа,Вакум,12,Бүргэд,39.87,11,Лизинггүй,Хан-Уул,1,Нисэх,2021-01-08 09:30:00,NISHED 1 URUU BAIR,68000000.0,Улаанбаатар,39.87,60713496.323529415
24,Паркет,Тагтгүй,2006,Байхгүй,Вакум,9,Бүргэд,33.3,7,Лизинггүй,Баянгол,2,"3, 4 хороолол",2021-01-08 12:11:00,"HOROOLOLIIN 33,3 M2 TALBAITAI 1 URUU",63000000.0,Улаанбаатар,33.3,56938935.39325843
25,Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Төмөр,37.0,10,Лизинггүй,Баянзүрх,1,Офицер,2021-01-08 13:09:00,SHINE AMGALAN KHOTKHON 1 OROO BAIR 37M2,60000000.0,Улаанбаатар,37.0,57844298.65771812
26,Паркет,Тагтгүй,2012,Байхгүй,Төмөр вакум,7,Бүргэд,26.5,7,Лизинггүй,Баянгол,1,"3, 4 хороолол",2021-01-08 14:31:00,1 OROO BAIR,52000000.0,Улаанбаатар,26.5,56938935.39325843
27,Паркет,1 тагттай,2005,Байхгүй,Вакум,5,Бүргэд,40.0,1,Лизинггүй,Баянгол,3,"3, 4 хороолол",2021-01-08 13:16:00,MODNY 2T 1OROO BAIR 40M2,65000000.0,Улаанбаатар,40.0,67657509.58466454
28,Паркет,Тагтгүй,2014,Байхгүй,Модон вакум,5,Бүргэд,33.0,4,Лизинггүй,Сонгино Хайрхан,2,Найрамдал,2021-01-08 14:38:00,NAIRAMDAL 1 OROO BAIR,69000000.0,Улаанбаатар,33.0,70071428.57142857
29,Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Төмөр,18.0,9,Лизинггүй,Баянгол,2,"3, 4 хороолол",2021-01-08 14:48:00,3 4 R KHOROOLOLD SURGUULI TSETSERLEG UILCHILGEEND OIR 1EREE BAIR,62000000.0,Улаанбаатар,18.0,62586538.461538464
30,Паркет,1 тагттай,2021,Байхгүй,Вакум,13,Бүргэд,28.54,10,Хувь лизингтэй,Чингэлтэй,1,Баянбүрд,2021-01-08 19:52:00,KHOTYN TOVD 1 OROO BAIR 28.54M2,39670000.0,Улаанбаатар,28.54,59190014.63414634
31,Паркет,1 тагттай,2008,Байхгүй,Вакум,5,Бүргэд,36.7,1,Лизинггүй,Баянзүрх,3,Офицер,2021-01-08 21:56:00,1 OROO 36.7MK BAIR,46242000.0,Улаанбаатар,36.7,57844298.65771812
32,Паркет,Тагтгүй,2013,Байхгүй,Вакум,5,Төмөр,21.0,2,Лизинггүй,Хан-Уул,1,Viva city,2021-01-08 23:28:00,VIVA CITY D 1 OROO BAIR,41000000.0,Улаанбаатар,21.0,43515602.83687943
33,Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,16.0,1,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,2021-01-08 23:58:00,1-R KHOROOLOL KHAR KHORIND 1 OROO BAIR KHUUCHNY 16M2,60000000.0,Улаанбаатар,16.0,57290410.95890411
34,Паркет,Тагтгүй,2021,Байхгүй,Төмөр вакум,16,Бүргэд,30.3,10,Лизинггүй,Баянгол,1,"3, 4 хороолол",2021-01-09 08:07:00,1 OROO,49995000.0,Улаанбаатар,30.3,56938935.39325843
35,Паркет,Тагтгүй,2012,Байхгүй,Вакум,16,Бүргэд,30.0,10,Лизинггүй,Баянгол,1,10-р хороолол,2021-01-08 21:12:00,GOLDEN PARKIIN BUREN ZASVARTAI 1 URUU,48000000.0,Улаанбаатар,30.0,49934253.40599455
36,Паркет,Тагтгүй,1995,Байгаа,Вакум,9,Бүргэд,18.0,1,Хувь лизингтэй,Сонгино Хайрхан,2,1-р хороолол,2021-01-09 10:40:00,KHARKHORIN ZAKHYN KHOINO 26 BAIRAND 1OROO,85000000.0,Улаанбаатар,18.0,57290410.95890411
37,Паркет,1 тагттай,2012,Байхгүй,Мод,1,Бүргэд,22.4,1,Лизинггүй,Баянзүрх,1,Шар хад,2021-01-08 19:57:00,DA KHUREE ZAKHYN KHAJUUD 1 OROO 22.4M2 BAIR,35000000.0,Улаанбаатар,22.4,31131578.94736842
38,Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,30.6,2,Банкны лизингтэй,Баянзүрх,1,Офицер,2021-01-09 12:46:00,OFITSERT 1 OROO BAIR 30M2,52000000.0,Улаанбаатар,30.6,48726743.967289716
39,Паркет,1 тагттай,2020,Байхгүй,Вакум,10,Бүргэд,33.95,3,Лизинггүй,Баянгол,2,10-р хороолол,2021-01-09 13:13:00,10-R KHOROOLOLD 1 OROO BAIR,65000000.0,Улаанбаатар,33.95,49934253.40599455
40,Паркет,1 тагттай,2004,Байхгүй,Вакум,4,Бүргэд,37.0,1,Лизинггүй,Баянзүрх,3,14-р хороолол,2021-01-09 14:03:00,GAL TOGOO TUSDA 1 OROO BAIR,45000000.0,Улаанбаатар,37.0,71669212.38095239
41,Паркет,Тагтгүй,2013,Байхгүй,Вакум,12,Бүргэд,44.5,5,Хувь лизингтэй,Баянзүрх,1,14-р хороолол,2021-01-09 16:52:00,BZD 14-R KHOROO TUMENNAST KHOTKHON 1OROO 45M2,66750000.0,Улаанбаатар,44.5,71669212.38095239
42,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Төмөр,34.23,8,Лизинггүй,Баянгол,2,"3, 4 хороолол",2021-01-09 17:56:00,1 OROO BAIR,61300000.0,Улаанбаатар,34.23,56938935.39325843
43,Паркет,Тагтгүй,2021,Байхгүй,Вакум,16,Бүргэд,22.44,12,Лизинггүй,Баянзүрх,1,16-р хороолол,2021-01-09 18:21:00,SKY RISEDENCE 2T 1 OROO BAIR,40000000.0,Улаанбаатар,22.44,46918892.327365726
44,Паркет,1 тагттай,1990,Байхгүй,Вакум,9,Бүргэд,18.0,7,Лизинггүй,Баянгол,3,10-р хороолол,2021-01-09 21:02:00,10-R HOROOLOLD GAL TOGOO TUSDAA 1 URUU BAIR,72000000.0,Улаанбаатар,18.0,58833333.333333336
45,Паркет,1 тагттай,2010,Байхгүй,Вакум,5,Бүргэд,23.0,5,Лизинггүй,Баянгол,2,1-р хороолол,2021-01-10 09:06:00,1 URUU BAIR,40000000.0,Улаанбаатар,23.0,53151244.44444445
46,Паркет,Тагтгүй,2011,Байхгүй,Вакум,12,Бүргэд,30.52,11,Лизинггүй,Баянзүрх,2,11-р хороолол,2021-01-10 00:11:00,KHOTYN TOVD 1 OROO BAIR,60000000.0,Улаанбаатар,30.52,57108219.17808219
47,Паркет,Тагтгүй,1980,Байхгүй,Вакум,4,Бүргэд,18.0,1,Лизинггүй,Чингэлтэй,2,"40, 50 мянгат",2021-01-10 00:32:00,KHOTYN TOVD 1 OROO BAIR KHUUCHNAAR 18M2,83000000.0,Улаанбаатар,18.0,103906250.0
48,Паркет,1 тагттай,2016,Байхгүй,Вакум,13,Төмөр,33.0,9,Лизинггүй,Баянзүрх,2,Сансар,2021-01-10 11:56:00,SANSRYN I MARTYN ZUUN TALD ENEREL KHOTKHOND 1 OROO BAIR 33M2,77000000.0,Улаанбаатар,33.0,49356930.69306931
49,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,32.0,8,Хувь лизингтэй,Баянзүрх,1,16-р хороолол,2021-01-10 13:02:00,BAGANAT ORGOO 1 OROO 32M2,51500000.0,Улаанбаатар,32.0,46918892.327365726
50,Паркет,1 тагттай,2018,Байхгүй,Вакум,16,Бүргэд,42.27,15,Лизинггүй,Баянзүрх,2,Бусад,2021-01-10 15:40:00,CHUKHAG 2 KHOTKHOND 42.27 MKV 1 OROO BAIR,93000000.0,Улаанбаатар,42.27,68056524.7311828
51,Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Бүргэд,29.0,1,Лизинггүй,Сүхбаатар,1,Баянбүрд,2021-01-10 13:34:00,1 DAVKHARYN 1 OROO,55100000.0,Улаанбаатар,29.0,59190014.63414634
52,Мод,1 тагттай,1988,Байхгүй,Вакум,4,Бүргэд,18.0,2,Лизинггүй,Сүхбаатар,2,Бусад,2021-01-10 16:58:00,1OROO BAIR,55000000.0,Улаанбаатар,18.0,40540983.60655738
53,Паркет,1 тагттай,2016,Байхгүй,Вакум,9,Бүргэд,32.0,7,Хувь лизингтэй,Хан-Уул,1,Зайсан,2021-01-10 18:06:00,ZAISAN ULAANBAATAR SUVILALYN KHAJUUD DOL KHOTKHOND 1OROO,69000000.0,Улаанбаатар,32.0,61993898.30508474
54,Мод,Тагтгүй,1980,Байхгүй,Вакум,3,Мод,30.0,3,Лизинггүй,Сонгино Хайрхан,2,Ханын материал,2021-01-10 16:59:00,KHMK ETSEST AVTOBUSNY BUUDLYN DERGED GAL TOGOO TUSDAA 1OROO 30M2 BAIR,38500000.0,Улаанбаатар,30.0,42316000.0
55,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,39.0,5,Лизинггүй,Баянзүрх,2,13-р хороолол,2021-01-10 19:27:00,GAL TOGOO TUSDAA 1 URUU BAIR 39M2,73000000.0,Улаанбаатар,39.0,79020892.15686275
56,Паркет,1 тагттай,1990,Байхгүй,Вакум,5,Бүргэд,46.0,4,Лизинггүй,Сонгино Хайрхан,3,21-р хороолол,2021-01-10 12:40:00,21-R KHOROOLOLD ARKTAI 1OROO 46M2,49000000.0,Улаанбаатар,46.0,55424309.9378882
57,Паркет,1 тагттай,2017,Байхгүй,Вакум,12,Бүргэд,31.0,1,Лизинггүй,Баянзүрх,2,Амгалан,2021-01-10 18:29:00,ULAANHUARAND 1 URUU BAIR,51150000.0,Улаанбаатар,31.0,47038066.666666664
58,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,31.0,11,Лизинггүй,Баянзүрх,1,16-р хороолол,2021-01-10 21:34:00,TSAIZ ZAKHYN KHAJUUD 1 OROO BAIR 31M2,52000000.0,Улаанбаатар,31.0,46918892.327365726
59,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,35.0,10,Лизинггүй,Баянзүрх,2,16-р хороолол,2021-01-10 19:52:00,16D 1 OROO 35M2,59000000.0,Улаанбаатар,35.0,46918892.327365726
60,Паркет,1 тагттай,2010,Байхгүй,Вакум,12,Бүргэд,39.0,11,Лизинггүй,Баянзүрх,2,13-р хороолол,2021-01-11 03:04:00,BZD 1 OROO BAIR,79000000.0,Улаанбаатар,39.0,79020892.15686275
61,Паркет,1 тагттай,2020,Байхгүй,Вакум,15,Вакум,40.09,7,Банкны лизингтэй,Баянзүрх,1,Өгөөмөр захын зүүн,2021-01-11 07:53:00,"1OROO 40,09M2 BAIR",80000000.0,Улаанбаатар,40.09,66246000.0
62,Паркет,1 тагттай,2007,Байхгүй,Мод,5,Бүргэд,31.0,2,Банкны лизингтэй,Баянгол,2,10-р хороолол,2021-01-11 08:09:00,10R KHOROOLOLD 31M2 1 OROO BAIR.,61000000.0,Улаанбаатар,31.0,49934253.40599455
63,Паркет,Тагтгүй,2010,Байхгүй,Вакум,9,Мод,36.6,2,Лизинггүй,Хан-Уул,2,Хурд,2021-01-11 09:09:00,RAPID 1 OROO 36.6M2 BAIR,74000000.0,Улаанбаатар,36.6,78080092.3076923
64,Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,37.0,7,Лизинггүй,Хан-Уул,2,19-р хороолол,2020-12-18 15:59:00,1 OROO BAIR,70000000.0,Улаанбаатар,37.0,79650016.49484536
65,Паркет,1 тагттай,2020,Байхгүй,Вакум,7,Бүргэд,30.34,3,Лизинггүй,Хан-Уул,1,Яармаг,2021-01-11 09:26:00,"YAARMAG NUKHT YAVAKH ZAMD 30,34MK 1-OROO BAIR",51500000.0,Улаанбаатар,30.34,44323492.85714286
66,Мод,Тагтгүй,2008,Байхгүй,Вакум,9,Төмөр,37.0,1,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-12-19 11:34:00,1 OROO BAIR,69000000.0,Улаанбаатар,37.0,67657509.58466454
67,Паркет,1 тагттай,2014,Байхгүй,Вакум,9,Бүргэд,33.7,8,Банкны лизингтэй,Хан-Уул,1,Бусад,2020-12-19 12:39:00,BUYANT-UKHAA 1-D 1 OROO,55000000.0,Улаанбаатар,33.7,51733929.42898975
68,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,41.0,1,Лизинггүй,Баянзүрх,2,Сансар,2020-12-19 14:41:00,1 OROO BAIR,68000000.0,Улаанбаатар,41.0,72488489.13043478
69,Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,18.0,7,Лизинггүй,Сонгино Хайрхан,3,1-р хороолол,2020-12-20 10:57:00,1R HOROOLOL TSAMBAD 1 OROO BAIR,65000000.0,Улаанбаатар,18.0,57290410.95890411
70,Паркет,1 тагттай,2015,Байхгүй,Вакум,12,Бүргэд,34.0,2,Лизинггүй,Баянзүрх,1,Бусад,2020-12-20 11:51:00,SARUUL KHOTKHOND 1 OROO BAIR,70000000.0,Улаанбаатар,34.0,51733929.42898975
71,Паркет,1 тагттай,2019,Байхгүй,Вакум,6,Бүргэд,35.0,4,Лизинггүй,Хан-Уул,2,Био комбинат,2020-12-20 15:15:00,1 OROO BAIR 35M2,41376000.0,Улаанбаатар,35.0,41376000.0
72,Паркет,1 тагттай,2018,Байхгүй,Вакум,6,Бүргэд,38.03,5,Лизинггүй,Баянзүрх,1,15-р хороолол,2020-12-20 13:17:00,1 OROO BAIR,62000000.0,Улаанбаатар,38.03,67916273.8317757
73,Паркет,Тагтгүй,2005,Байхгүй,Вакум,5,Бүргэд,35.0,1,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-12-20 13:58:00,KHOROOLOL NOMUUN EMNELEG URD 1 OROO,61000000.0,Улаанбаатар,35.0,56938935.39325843
74,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,34.76,9,Лизинггүй,Сүхбаатар,2,100 айл,2020-12-19 15:19:00,1 OROO BAIR 34M2,72996000.0,Улаанбаатар,34.76,51155321.428571425
75,Паркет,Тагтгүй,2015,Байхгүй,Вакум,12,Төмөр,29.0,8,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-12-20 08:12:00,29 MKV 1 OROO BAIR,50000000.0,Улаанбаатар,29.0,46918892.327365726
76,Паркет,1 тагттай,2020,Байгаа,Вакум,16,Бүргэд,32.4,5,Лизинггүй,Баянзүрх,1,Бусад,2020-12-21 10:26:00,BAGANAT KHOROOLOL 1 OROO BAIR,38556000.0,Улаанбаатар,32.4,51733929.42898975
77,Паркет,1 тагттай,2014,Байхгүй,Вакум,12,Бүргэд,38.0,5,Банкны лизингтэй,Баянзүрх,2,13-р хороолол,2020-12-21 13:16:00,BAYANZURKH NATUR KHUDALDAANY TOVIIN BARUUN TALD 1 OROO BAIR,76000000.0,Улаанбаатар,38.0,79020892.15686275
78,Паркет,1 тагттай,2015,Байхгүй,Вакум,6,Бүргэд,46.0,3,Лизинггүй,Хан-Уул,1,19-р хороолол,2020-12-21 16:45:00,1 OROO 46M2,84000000.0,Улаанбаатар,46.0,79650016.49484536
79,Паркет,Тагтгүй,2013,Байхгүй,Төмөр вакум,12,Бүргэд,32.0,3,Лизинггүй,Баянзүрх,1,Амгалан,2020-12-21 16:50:00,AMAGLAN KHOTKHOND 32MK2 1 OROO BAIR,53000000.0,Улаанбаатар,32.0,47038066.666666664
80,Цемент,1 тагттай,2013,Байхгүй,Вакум,12,Бүргэд,28.0,9,Лизинггүй,Баянгол,1,"3, 4 хороолол",2020-12-21 20:01:00,1 URUU 28M2,45000000.0,Улаанбаатар,28.0,56938935.39325843
81,Паркет,1 тагттай,1980,Байхгүй,Мод,5,Бүргэд,30.0,5,Лизинггүй,Сүхбаатар,2,5-р хороолол,2020-12-21 22:38:00,GAL TOGOO TUSDAA 1 OROO BAIR,85000000.0,Улаанбаатар,30.0,67047619.047619045
82,Паркет,1 тагттай,1989,Байхгүй,Вакум,9,Бүргэд,18.0,7,Лизинггүй,Сонгино Хайрхан,3,1-р хороолол,2020-12-22 15:18:00,"SKHD, 1-R KHOROOLOLD KHUUCHNY 1 OROO BAIR",65000000.0,Улаанбаатар,18.0,57290410.95890411
83,Паркет,1 тагттай,2018,Байхгүй,Вакум,12,Бүргэд,33.0,7,Лизинггүй,Хан-Уул,2,Нисэх,2020-12-22 10:33:00,NISEKHED 1 OROO BAIR 33M2,60000000.0,Улаанбаатар,33.0,48191583.67086957
84,Паркет,1 тагттай,1988,Байхгүй,Вакум,9,Бүргэд,31.0,2,Лизинггүй,Сонгино Хайрхан,2,1-р хороолол,2020-12-22 08:04:00,1 URUU BAIR 31M2,65000000.0,Улаанбаатар,31.0,53151244.44444445
85,Паркет,1 тагттай,2009,Байхгүй,Вакум,6,Төмөр,43.5,6,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-12-22 19:07:00,KHOROOLLYN ETSEST 1 OROO BAIR,65000000.0,Улаанбаатар,43.5,67657509.58466454
86,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,42.3,15,Лизинггүй,Баянзүрх,2,Бусад,2020-12-23 14:04:00,DUNJINGARAVIIN URD CHUHAG 2 HOTHON 1 URUU,93000000.0,Улаанбаатар,42.3,68056524.7311828
87,Паркет,1 тагттай,2020,Байхгүй,Вакум,17,Бүргэд,36.08,13,Лизинггүй,Баянзүрх,1,Бусад,2020-12-23 15:45:00,SKY RESIDENCE 2-S 1 ѲRѲѲ BAIR,61336000.0,Улаанбаатар,36.08,68056524.7311828
88,Паркет,1 тагттай,2012,Байхгүй,Вакум,10,Бүргэд,24.5,7,Лизинггүй,Чингэлтэй,1,Баянбүрд,2020-12-24 09:38:00,1OROO BAIR 24.5M2,60000000.0,Улаанбаатар,24.5,59190014.63414634
89,Паркет,1 тагттай,2020,Байхгүй,Вакум,12,Бүргэд,35.0,7,Лизинггүй,Сүхбаатар,3,100 айл,2020-12-24 09:30:00,1OROO BAIR 35M2,60000000.0,Улаанбаатар,35.0,51155321.428571425
90,Паркет,Тагтгүй,2012,Байхгүй,Вакум,10,Бүргэд,29.0,8,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-12-23 19:08:00,16D 1 OROO BAIR,46000000.0,Улаанбаатар,29.0,46918892.327365726
91,Паркет,1 тагттай,2016,Байхгүй,Вакум,12,Бүргэд,40.54,1,Лизинггүй,Баянзүрх,2,Сансар,2020-12-24 19:16:00,SANSART 1 URUU BAIR 40.54M2,68918000.0,Улаанбаатар,40.54,72488489.13043478
92,Паркет,1 тагттай,2005,Байхгүй,Төмөр вакум,5,Бүргэд,35.0,1,Лизинггүй,Баянгол,3,"3, 4 хороолол",2020-12-24 14:52:00,MODNY-2 ZASVARTAI 2 OROO BAIR,69000000.0,Улаанбаатар,35.0,56938935.39325843
93,Паркет,1 тагттай,2008,Байхгүй,Вакум,10,Бүргэд,41.29,3,Лизинггүй,Баянзүрх,2,13-р хороолол,2020-12-24 22:37:00,13 KHOROOLOLD 41.29M2 TAI 1 OROO BAIR,80000000.0,Улаанбаатар,41.29,79020892.15686275
94,Паркет,1 тагттай,2021,Байхгүй,Вакум,16,Төмөр,32.2,14,Лизинггүй,Баянзүрх,1,Бусад,2020-12-25 10:08:00,BAGANAT KHOROOLOLD 1 OROO BAIR 32.2M2,51520000.00000001,Улаанбаатар,32.2,51733929.42898975
95,Паркет,1 тагттай,2020,Байхгүй,Вакум,16,Бүргэд,41.0,2,Лизинггүй,Баянзүрх,1,14-р хороолол,2020-12-26 11:46:00,1 OROO BAIR 41M2,73800000.0,Улаанбаатар,41.0,71669212.38095239
96,Паркет,1 тагттай,2008,Байхгүй,Вакум,12,Бүргэд,29.0,7,Банкны лизингтэй,Чингэлтэй,1,Баянбүрд,2020-12-25 10:09:00,KHAGAS TAVILGATAI 1OROO BAIR,60000000.0,Улаанбаатар,29.0,59190014.63414634
97,Паркет,1 тагттай,2020,Байхгүй,Вакум,9,Бүргэд,35.0,4,Лизинггүй,Баянгол,2,5 шар,2020-12-25 14:51:00,5-N SHARD 1OROO BAIR 35M2,56000000.0,Улаанбаатар,35.0,40150637.47125312
98,Цемент,1 тагттай,1989,Байхгүй,Вакум,5,Бүргэд,18.0,5,Лизинггүй,Сонгино Хайрхан,2,Орбит,2020-12-25 22:44:00,1 OROO BAIR,48000000.0,Улаанбаатар,18.0,38571428.571428575
99,Паркет,1 тагттай,2015,Байхгүй,Вакум,10,Бүргэд,24.0,1,Лизинггүй,Хан-Уул,2,Нисэх,2020-12-26 19:07:00,24M2 1OROO BAIR,45000000.0,Улаанбаатар,24.0,48191583.67086957
100,Паркет,1 тагттай,2020,Байгаа,Вакум,15,Бүргэд,32.42,3,Лизинггүй,Баянзүрх,2,Бусад,2020-12-27 10:57:00,KOMFORT-3 KHOTKHOND 1 OROO 32M2 BAIR,64000000.0,Улаанбаатар,32.42,51733929.42898975
101,Паркет,1 тагттай,2020,Байхгүй,Вакум,11,Бүргэд,44.79,4,Лизинггүй,Баянзүрх,2,Бага тойрог,2020-12-26 22:53:00,44.79 MKV-TAI 1OROO BAIR,111975000.0,Улаанбаатар,44.79,77597596.15384616
