index,Шал,Тагт,Ашиглалтанд орсон он,Гараж,Цонх,Барилгын давхар,Хаалга,Талбай,Хэдэн давхарт,Лизинг,Дүүрэг,Цонхны тоо,Байршил,Огноо,Зарын гарчиг,Үнэ,Байрлал,Талбай_numeric,Үнэ_mean
16111,Паркет,Тагтгүй,2009,Байхгүй,Вакум,5,Бүргэд,22.15,1,Лизинггүй,Баянгол,1,10-р хороолол,2020-03-24 00:00:00,"BGD, 10-R KHOROOLOLD 1 OROO BAIR 22.15M2",42000000.0,Улаанбаатар,22.15,49934253.40599455
16112,Паркет,1 тагттай,1997,Байхгүй,Вакум,5,Бүргэд,15.0,2,Лизинггүй,Баянгол,1,Бусад,2020-03-24 00:00:00,"BGD, 6-R BICHIL KHOROOLOLD BAIRLALTAI 15M2 TALBAITAI 1 OROO BAIR",52000000.0,Улаанбаатар,15.0,40540983.60655738
16113,Паркет,1 тагттай,2012,Байхгүй,Вакум,4,Бүргэд,22.4,3,Лизинггүй,Баянзүрх,1,Бусад,2020-03-24 00:00:00,"BZD, 17-R KHOROO DA KHUREE KHOTKHONY 65B BAIRAND 22.4M2 TALBAITAI 1 OROO",25000000.0,Улаанбаатар,22.4,51733929.42898975
16114,Паркет,Тагтгүй,2008,Байхгүй,Вакум,7,Бүргэд,47.0,7,Лизинггүй,Баянгол,2,"3, 4 хороолол",2020-03-24 00:00:00,"BZD, 4-R KHOROOLOLD 10-R BAIRAND 47M2 TALBAITAI 1 OROO BAIR",68150000.0,Улаанбаатар,47.0,67657509.58466454
16115,Паркет,Тагтгүй,2014,Байхгүй,Вакум,8,Бүргэд,31.95,6,Лизинггүй,Баянзүрх,1,16-р хороолол,2020-03-24 00:00:00,"BZD, ULAANKHUARAND 1 OROO BAIR 31M2",43000000.0,Улаанбаатар,31.95,46918892.327365726
16116,Паркет,1 тагттай,2015,Байхгүй,Вакум,5,Бүргэд,27.0,1,Лизинггүй,Баянзүрх,1,Офицер,2020-03-24 00:00:00,BZD 8 KHOROO TENUUN KHOTKHON 1 OROO,42000000.0,Улаанбаатар,27.0,48726743.967289716
16117,Мод,1 тагттай,1988,Байхгүй,Мод,5,Бүргэд,18.0,3,Лизинггүй,Налайх,2,Бусад,2020-03-24 00:00:00,1 OROO BAIR,32000000.0,Улаанбаатар,18.0,40540983.60655738
16118,Паркет,1 тагттай,2019,Байхгүй,Вакум,2,Бүргэд,32.0,1,Лизинггүй,Сонгино Хайрхан,3,Бусад,2020-03-24 00:00:00,2019 OND ASHIGLALTAND ORSON 1 OROO 32M2,35000000.0,Улаанбаатар,32.0,51733929.42898975
16119,Паркет,1 тагттай,2009,Байхгүй,Вакум,5,Төмөр,30.9,1,Лизинггүй,Баянзүрх,2,Сансар,2020-03-24 00:00:00,SANSART 30MKV 1 URUU,45000000.0,Улаанбаатар,30.9,49356930.69306931
16120,Паркет,Тагтгүй,2010,Байхгүй,Вакум,12,Бүргэд,30.0,3,Лизинггүй,Сонгино Хайрхан,1,5 шар,2020-03-24 00:00:00,1 OROO BAIR,45000000.0,Улаанбаатар,30.0,40150637.47125312
